,[QUOTE_UNIXTIME],[QUOTE_READTIME],[QUOTE_DATE],[QUOTE_TIME_HOURS],[UNDERLYING_LAST],[EXPIRE_DATE],[EXPIRE_UNIX],[DTE],[C_DELTA],[C_GAMMA],[C_VEGA],[C_THETA],[C_RHO],[C_IV],[C_VOLUME],[C_LAST],[C_SIZE],[C_BID],[C_ASK],[STRIKE],[P_BID],[P_ASK],[P_SIZE],[P_LAST],[P_DELTA],[P_GAMMA],[P_VEGA],[P_THETA],[P_RHO],[P_IV],[P_VOLUME],[STRIKE_DISTANCE],[STRIKE_DISTANCE_PCT]
53,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.96699,0.00346,0.02149,-0.27304,0.01807,0.72017,8.0,40.12,1 x 1,36.67,37.88,393.0,0.02,0.03,1370 x 825,0.05,-0.00479,0.00092,0.00451,-0.02424,-0.00036,0.51225,80.0,37.0,0.086
54,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98348,0.00229,0.01182,-0.10651,0.01798,0.60066,,0.0,25 x 25,35.71,36.49,394.0,0.02,0.03,1428 x 724,0.04,-0.00493,0.00103,0.00445,-0.02399,-0.00047,0.49947,85.0,36.0,0.084
55,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.96901,0.00348,0.02035,-0.23506,0.01784,0.66778,0.0,42.25,300 x 300,34.72,35.75,395.0,0.03,0.04,1 x 1782,0.05,-0.00724,0.00132,0.00549,-0.03407,0.0,0.5057,245.0,35.0,0.081
56,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98297,0.00253,0.01248,-0.10629,0.01854,0.57004,,0.0,25 x 25,33.71,34.49,396.0,0.03,0.04,153 x 1574,0.04,-0.00679,0.00141,0.00628,-0.03394,-0.00046,0.49278,77.0,34.0,0.079
57,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98297,0.00258,0.01322,-0.10584,0.01795,0.55512,0.0,34.52,25 x 25,32.71,33.49,397.0,0.03,0.04,1153 x 1733,0.03,-0.00779,0.00147,0.00624,-0.03399,0.0,0.47903,131.0,33.0,0.077
58,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98185,0.00275,0.01353,-0.10604,0.01846,0.5405,,0.0,25 x 25,31.71,32.49,398.0,0.03,0.04,1153 x 1644,0.04,-0.00724,0.00147,0.00642,-0.03509,-8e-05,0.46643,58.0,32.0,0.074
59,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.98049,0.00308,0.01412,-0.1159,0.01837,0.53305,0.0,42.47,25 x 25,30.72,31.5,399.0,0.03,0.04,1054 x 1132,0.04,-0.00812,0.00164,0.00662,-0.03525,-0.0001,0.45263,471.0,31.0,0.072
60,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,1.0,0.0,0.0,-0.00308,0.01942,,17.0,31.11,30 x 300,29.25,30.19,400.0,0.04,0.05,1 x 1173,0.04,-0.00937,0.00197,0.00779,-0.04466,0.0,0.45293,2380.0,30.0,0.07
61,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97955,0.0034,0.01433,-0.11598,0.01894,0.50208,19.0,26.31,25 x 25,28.72,29.5,401.0,0.04,0.04,1173 x 170,0.06,-0.00945,0.0019,0.0077,-0.04005,-8e-05,0.43312,990.0,29.0,0.067
62,1646168400,2022-03-01 16:00,2022-03-01,16.0,429.99,2022-03-02,1646254800,1.0,0.97838,0.00365,0.01546,-0.11994,0.01808,0.49051,3.0,25.34,25 x 25,27.72,28.51,402.0,0.04,0.05,1173 x 1153,0.07,-0.01076,0.00223,0.00847,-0.04488,0.0,0.42606,367.0,28.0,0.065
